,figure,category
0,fig_0.png,The Dolphin.
1,fig_1.png,The Dolphin.
2,fig_2.png,The Dolphin.
3,fig_3.png,The Dolphin.
4,fig_4.png,The Dolphin.
5,fig_5.png,
6,fig_6.png,
7,fig_7.png,
8,fig_8.png,
9,fig_9.png,
10,fig_10.png,
11,fig_11.png,
12,fig_12.png,The Dolphin.
13,fig_13.png,The Dolphin.
14,fig_14.png,The Dolphin.
15,fig_15.png,The Dolphin.
16,fig_16.png,The Dolphin.
17,fig_17.png,The Shell.
18,fig_18.png,The Shell.
19,fig_19.png,The Shell.
20,fig_20.png,The Shell.
21,fig_21.png,The Shell.
22,fig_22.png,The Shell.
23,fig_23.png,The Shell.
24,fig_24.png,"The Serpent, &c,"
25,fig_25.png,"The Serpent, &c,"
26,fig_26.png,"The Mask, &."
27,fig_27.png,"The Mask, &."
28,fig_28.png,"The Mask, &."
29,fig_29.png,"The Mask, &."
30,fig_30.png,"The Mask, &."
31,fig_31.png,"The Mask, &."
32,fig_32.png,"The Mask, &."
33,fig_33.png,"The Mask, &."
34,fig_34.png,"The Mask, &."
35,fig_35.png,"The Mask, &."
36,fig_36.png,"The Grottesque Mask,"
37,fig_37.png,"The Grottesque Mask,"
38,fig_38.png,"The Grottesque Mask,"
39,fig_39.png,"The Grottesque Mask,"
40,fig_40.png,"The Grottesque Mask,"
41,fig_41.png,"The Grottesque Mask,"
42,fig_42.png,"The Grottesque Mask,"
43,fig_43.png,‘The Grottesque Mask.
44,fig_44.png,‘The Grottesque Mask.
45,fig_45.png,‘The Grottesque Mask.
46,fig_46.png,‘The Grottesque Mask.
47,fig_47.png,‘The Grottesque Mask.
48,fig_48.png,‘The Grottesque Mask.
49,fig_49.png,‘The Grottesque Mask.
50,fig_50.png,‘The Grottesque Mask.
51,fig_51.png,The Medusa Head.
52,fig_52.png,The Medusa Head.
53,fig_53.png,The Grottesque
54,fig_54.png,The Grottesque
55,fig_55.png,The Grottesque
56,fig_56.png,The Grottesque
57,fig_57.png,The Grottesque
58,fig_58.png,The Grottesque
59,fig_59.png,The Grottesque
60,fig_60.png,The Grottesque
61,fig_61.png,The Half-Figure.
62,fig_62.png,The Half-Figure.
63,fig_63.png,The Half-Figure.
64,fig_64.png,The Half-Figure.
65,fig_65.png,The Half-Figure.
66,fig_66.png,"The Sphinx, and the Centaur."
67,fig_67.png,"The Sphinx, and the Centaur."
68,fig_68.png,"The Sphinx, and the Centaur."
69,fig_69.png,"The Sphinx, and the Centaur."
70,fig_70.png,"The Sphinx, and the Centaur."
71,fig_71.png,"The Sphinx, and the Centaur."
72,fig_72.png,"The Sphinx, and the Centaur."
73,fig_73.png,"The Sphinx, and the Centaur."
74,fig_74.png,": The Cherub Head, &c."
75,fig_75.png,": The Cherub Head, &c."
76,fig_76.png,": The Cherub Head, &c."
77,fig_77.png,": The Cherub Head, &c."
78,fig_78.png,": The Cherub Head, &c."
79,fig_79.png,": The Cherub Head, &c."
80,fig_80.png,": The Cherub Head, &c."
81,fig_81.png,": The Cherub Head, &c."
82,fig_82.png,": The Cherub Head, &c."
83,fig_83.png,": The Cherub Head, &c."
84,fig_84.png,The Trophy.
85,fig_85.png,The Trophy.
86,fig_86.png,The Trophy.
87,fig_87.png,The Trophy.
88,fig_88.png,The Trophy.
89,fig_89.png,The Trophy.
90,fig_90.png,The Trophy.
91,fig_91.png,The Trophy.
92,fig_92.png,The Trophy.
93,fig_93.png,The Trophy.
94,fig_94.png,The Symbol.
95,fig_95.png,The Symbol.
96,fig_96.png,The Symbol.
97,fig_97.png,The Symbol.
98,fig_98.png,The Symbol.
99,fig_99.png,The Symbol.
100,fig_100.png,The Symbol.
101,fig_101.png,The Symbol.
102,fig_102.png,The Symbol.
103,fig_103.png,The Symbol.
104,fig_104.png,The Symbol.
105,fig_105.png,The Symbol.
106,fig_106.png,The Symbol.
107,fig_107.png,The Symbol.
108,fig_108.png,The Symbol.
109,fig_109.png,The Symbol.
110,fig_110.png,The Symbol.
111,fig_111.png,The Symbol.
112,fig_112.png,The Symbol.
113,fig_113.png,The Symbc!.
114,fig_114.png,The Symbc!.
115,fig_115.png,The Symbc!.
116,fig_116.png,The Symbc!.
117,fig_117.png,The Symbc!.
118,fig_118.png,The Symbc!.
119,fig_119.png,The Symbc!.
120,fig_120.png,The Symbc!.
121,fig_121.png,The Symbol.
122,fig_122.png,The Symbol.
123,fig_123.png,The Symbol.
124,fig_124.png,The Symbol.
125,fig_125.png,The Symbol.
126,fig_126.png,"The Ribbon, and the Label"
127,fig_127.png,"The Ribbon, and the Label"
128,fig_128.png,"The Ribbon, and the Label"
129,fig_129.png,"The Ribbon, and the Label"
130,fig_130.png,The Ribbon.
131,fig_131.png,The Ribbon.
132,fig_132.png,Miscellaneous objects.
133,fig_133.png,Miscellaneous objects.
134,fig_134.png,Miscellaneous objects.
135,fig_135.png,Miscellaneous objects.
136,fig_136.png,Miscellaneous objects.
137,fig_137.png,The Fret Band.
138,fig_138.png,The Fret Band.
139,fig_139.png,The Fret Band.
140,fig_140.png,The Fret Band.
141,fig_141.png,The Fret Band.
142,fig_142.png,The Fret Band.
143,fig_143.png,The Fret Band.
144,fig_144.png,; The Chain Band.
145,fig_145.png,; The Chain Band.
146,fig_146.png,; The Chain Band.
147,fig_147.png,; The Chain Band.
148,fig_148.png,; The Chain Band.
149,fig_149.png,The Interlacement Band.
150,fig_150.png,The Interlacement Band.
151,fig_151.png,The Interlacement Band.
152,fig_152.png,The Interlacement Band.
153,fig_153.png,The Interlacement Band.
154,fig_154.png,The Interlacement Band.
155,fig_155.png,The Interlacement Band.
156,fig_156.png,The Interlacement Band.
157,fig_157.png,The Interlacement Band.
158,fig_158.png,The Interlacement Band.
159,fig_159.png,The Interlacement Band.
160,fig_160.png,The Interlacement Band.
161,fig_161.png,The Interlacement Band.
162,fig_162.png,The Interlacement Band.
163,fig_163.png,The Interlacement Band.
164,fig_164.png,The Interlacement Band.
165,fig_165.png,The Interlacement Band.
166,fig_166.png,The Interlacement Band.
167,fig_167.png,The Interlacement Band.
168,fig_168.png,The Interlacement Band.
169,fig_169.png,The InterJacement Band.
170,fig_170.png,The InterJacement Band.
171,fig_171.png,The InterJacement Band.
172,fig_172.png,The InterJacement Band.
173,fig_173.png,The InterJacement Band.
174,fig_174.png,The Rosette Band.
175,fig_175.png,The Rosette Band.
176,fig_176.png,The Rosette Band.
